month,line,division,day_type,period,num_timepoints_passing_wait _assessment,num_sched_timepoints,wait assessment
2015-01,1,A DIVISION,1,offpeak,17864,22636,0.789185368
2015-01,1,A DIVISION,1,peak,10540,15019,0.701777748
2015-01,1,A DIVISION,2,offpeak,6601,7496,0.880602988
2015-01,1,A DIVISION,2,peak,3177,3656,0.868982495
2015-01,2,A DIVISION,1,offpeak,18357,24256,0.756802441
2015-01,2,A DIVISION,1,peak,10154,15882,0.639340133
2015-01,2,A DIVISION,2,offpeak,5746,7373,0.779329988
2015-01,2,A DIVISION,2,peak,2964,3768,0.786624204
2015-01,3,A DIVISION,1,offpeak,16719,21119,0.791656802
2015-01,3,A DIVISION,1,peak,9500,13575,0.699815838
2015-01,3,A DIVISION,2,offpeak,4534,5356,0.846527259
2015-01,3,A DIVISION,2,peak,2304,2730,0.843956044
2015-01,4,A DIVISION,1,offpeak,20484,27717,0.739041022
2015-01,4,A DIVISION,1,peak,12832,20912,0.613618975
2015-01,4,A DIVISION,2,offpeak,7801,10751,0.72560692
2015-01,4,A DIVISION,2,peak,4102,5866,0.69928401
2015-01,5,A DIVISION,1,offpeak,15190,21279,0.713849335
2015-01,5,A DIVISION,1,peak,10417,17393,0.598919105
2015-01,5,A DIVISION,2,offpeak,2743,4107,0.6678841
2015-01,5,A DIVISION,2,peak,1308,2214,0.590785908
2015-01,6,A DIVISION,1,offpeak,17334,25667,0.675341879
2015-01,6,A DIVISION,1,peak,11017,18713,0.588735104
2015-01,6,A DIVISION,2,offpeak,3572,4587,0.778722477
2015-01,6,A DIVISION,2,peak,1797,2392,0.751254181
2015-01,7,A DIVISION,1,offpeak,11078,14068,0.787460904
2015-01,7,A DIVISION,1,peak,8081,12022,0.672184329
2015-01,7,A DIVISION,2,offpeak,2845,3369,0.844464233
2015-01,7,A DIVISION,2,peak,1536,1905,0.806299213
2015-01,S 42nd,A DIVISION,1,offpeak,5214,5683,0.917473166
2015-01,S 42nd,A DIVISION,1,peak,4437,5746,0.772189349
2015-01,S 42nd,A DIVISION,2,offpeak,1910,1928,0.9906639
2015-01,S 42nd,A DIVISION,2,peak,1120,1132,0.989399293
2015-01,A,B DIVISION,1,offpeak,12769,17775,0.718368495
2015-01,A,B DIVISION,1,peak,8799,13182,0.667501138
2015-01,A,B DIVISION,2,offpeak,4624,7027,0.6580333
2015-01,A,B DIVISION,2,peak,2447,3870,0.632299742
2015-01,B,B DIVISION,1,offpeak,7096,8496,0.835216573
2015-01,B,B DIVISION,1,peak,5548,7452,0.744498121
2015-01,C,B DIVISION,1,offpeak,8170,10522,0.776468352
2015-01,C,B DIVISION,1,peak,4776,6508,0.733866011
2015-01,C,B DIVISION,2,offpeak,2803,3123,0.897534422
2015-01,C,B DIVISION,2,peak,1638,1876,0.873134328
2015-01,D,B DIVISION,1,offpeak,10568,12823,0.824144116
2015-01,D,B DIVISION,1,peak,6361,8377,0.759341053
2015-01,D,B DIVISION,2,offpeak,4694,6011,0.78090168
2015-01,D,B DIVISION,2,peak,2540,3194,0.795241077
2015-01,E,B DIVISION,1,offpeak,9770,12970,0.753276793
2015-01,E,B DIVISION,1,peak,6368,9265,0.687317863
2015-01,E,B DIVISION,2,offpeak,3027,3687,0.820992677
2015-01,E,B DIVISION,2,peak,1501,1890,0.794179894
2015-01,F,B DIVISION,1,offpeak,13987,19279,0.725504435
2015-01,F,B DIVISION,1,peak,9105,13907,0.654706263
2015-01,F,B DIVISION,2,offpeak,4579,5705,0.802629273
2015-01,F,B DIVISION,2,peak,2335,2922,0.799110198
2015-01,G,B DIVISION,1,offpeak,4489,5310,0.845386064
2015-01,G,B DIVISION,1,peak,2706,3311,0.817275748
